reviews,ratings
woww..Woe.. Just Get new Redmond 6pro in one day. Very Very Fast Service From Flipcart. And Main Thing New Red mi 6pro Is Wow wow wow wow. I just Love The Phone. Camera Of The Phone is Best ever Camera. Phone Look like Slim And Colour Rose Gold Is Very Very Beautiful. I am very very Happy With This Phone. Only on This Price Range Is Very Beautiful.READ MORE,5
"Nice Phone but bit pricey as compared to other devices. Xiaomi released the device in a hurry without giving much thought. The phone is good in camera department but when it comes to performance, the 2 years old SD 636 is outperformed by phones in similar price range out there like RealMe 2 Pro with SD 660. Games like PUBG will play nicely on this phone but Graphics wont be great and will be laggy sometimes, also the bulky notch will interfere everytime. Overall the phone is good if priced ar...READ MORE",3
"This is one of the best smartphone in Note series launched by Xiomi.  it's performance is so good as compare to Note 5 Pro. It seems to be copied version of apple XS. But it's performance is over expectations in this price range. processor used in this phone is Qualcam Snapdragon 636 too faster than 660. I don't know how.  but I have taken speed test of it with 660 processor compact phones. Yes, it works too faster. Camera and features are also good. It's my honest review what I have experien...READ MORE",5
I was looking for a low budget college phone previously used rn3 just upgraded nice phone ;sound is also good but camera is not upto the mark or as explained by the company look at the 3rd picture the focusing is not as it was shown in the launch video:3AFTER A DAY USAGE: - CAMERA IS NOT GOOD ENOUGH BAD CAMERATHE APERTURE SHOULD HAVE BEEN AROUND 1.7-1.4 NOT 1.9;THE DPAF FOCUSING NOT AT ALL GOOD ;RESULT:-DON'T BUY WAIT!READ MORE,5
display is way better compared to  note5 pro. in hand feel is very nice. comfortable to hold specially with the provided silicon case in box. super super cameras..  I loved MIUI... Now I have both note6 pro and realme 2 pro.. I feel redmi note6 pro is betterREAD MORE,5
the phone is good but the display could size could have been expanded and the processor could have been enhanced as it's being provided in some other phones in same price bracket... otherwise the phone is good and looks durable .camera works good and no lags till now.READ MORE,5
"Nice mobile with decent cameras and good display, sound also good but processor is old otherwise good. Mi become popular because of our people and please give headset in future days.READ MORE",5
"After 10 days usage:PROS: 1. Fantastic camera, excellent portrait mode, bokeh effect. (Samples attached).2. Excellent sound, loud and crisp.3. No lag issue, smooth performance.4. Batter 1.5 days normal usage, a bit towards higher side.5. Display is excellent.6. No heating issues.7. Excellent video calling, with no drops.CONS:1. YouTube, Amazon prime, Netflix full screen is a bit cropped up due to the aspect ratio of the phone screen display.2. No dedicated micro-sd slot, but bel...READ MORE",5
it's on of the best camera phone in this price range... I bought it at 12999... To be a honest Flipkart buyer i recommend every one.. for this phone.. it's surely value for money... & I specifically preffer the Blue colour. it's gorgeous 👌READ MORE,5
"A top class poweful beast and I got that for 12,999. What a deal. Worth every penny. Must go for it. Studio light, Wide lens aperture, Lag free UI is amazing and notch makes it look like poco f1. Beautiful. Don't waste time in review videos. They will always compare with little more high end phones. that's how their channel runs. But trust me guys. You will not regret buying it.READ MORE",5
All features are better. we have afforded a valuable product for the amount we spent. Good camera quality. battery is not drained while using internet. i feel proud to bought a phone like this. Thank you!!😊READ MORE,5
VERY GOOD PRODUCT But redmi has given slow charger. Redmi should give fast charger. Although it supports fast charger. And it supports iOS theme.READ MORE,5
best camera in this price range battery is good display is better overall good value for moneyREAD MORE,5
awesome note 6 feels like holding premium phone . Excellent specifications with just 14.5k. Great deal Thanks Mi and Flipkart.READ MORE,5
"best phone this price , but better improve for camera / Battery other anyway good phoneREAD MORE",5
Xiaomi's Redmi Note series has always been a powerhouse product and Redmi Note 6 pro is no exception.Pros:- The display is nice with a notch as per 2018 trends.- 64 GB ROM/ 4 GB RAM memory combo is a fan favourite- 4000 mA battery lasts more than a day with good usage- Dual Camera at the front and back is a welcome combo and clicks great pictures.- 3.5 mm headphone jack is still present (skipped in Mi A2)Cons-- Qualcomm Snapdragon 636 processor (same as Note 5 pro)It should have b...READ MORE,5
"This is smartphone is a nice combo of picture quality, latest technology. I loved this phone. Only thing it's display is not bright as expected. overall very good budget smartphone.READ MORE",4
"I like this cell phone redmi note 6 pro with 12 + 5 mp dual rear and 20 + 2 mp dual front camera with AL and portrait 2.0 programming, 4000 mah of large battery with fast backup of 1&a half hours on 18W 5V 2A fast charging of Qualcomm® Quick Charge ™ 3.0 supported of mi original charger with a 1m of usb cable, and it has a Full Screen IPS display of 15.9 cm (6.26 Inches) with a 19:9 iPhone X notch and smooth multi touchpad, value for money, and it's performance is also very good with Qualcomm...READ MORE",5
"Amazing product at the price point. I got it on the first day sale event for 12,999 & as expected flipkart delivered  the very next day though delivery was promised in 3 days. Completely worth the money as far camera is concerned. Battery back up is quite good, though I am not in to playing games and all. Battery lasts from almost a day with mobile data always on with use of apps like WhatsApp, Facebook, twitter & 1 or 2 hrs of YouTube/ music.Most amazing part is the Camera and a number of A...READ MORE",5
"very very nice product from Xiaomi, I am really thankful in this budget this is the best smartphone you should have, I compared its images to oneplus 6t you couldn't find any difference in them sometimes it even better then that...READ MORE",5
Really Awesome Phone..Nice Performance with good features.Thank You Flipkart for your fabulous service and fast delivery.READ MORE,5
fantastic mob...studio lighting n effect in just 12999 awsom.really smart .photo like dslcamera. low light image is wonderful.I like it..bt screen wake function in not properly work.READ MORE,4
This is a Wonderful Phone. Camera Quality Is Awesome. Front and back both camera is nice. Battrey backup is more than 1.5 - 2 days. Display quality is awesome. I want to buy Red colour Varriant but it out of stock. Speaker is loud. Delivery in just 1 day. Do not think and just buy this mobile. I am very happy with this product.😘😍READ MORE,5
excellent phone. Camera is very good in daylight and also good in night with f/1.9 aperture. selfies are excellent. battery backup is also very good with almost a day with heavy usage. and perfomance is smooth in normal usage.READ MORE,5
best phone ever even then I use note 7 new 32 megapixel bt note 6pro boom like note 5 pro. personally I use I phone x max bt camera minner diffrance...READ MORE,5
"after one month of usage at this price point one of the best phone available current market. camera battery display are very good , build quality also solid , no heating issues while playing games like pubg and all battery backup also solid for playing games. sample photos given below with different lighting conditions without any editsREAD MORE",5
No words to describe this awesome phone at this price segment.. I just want to say that it is all rounder phone..  The reason is that because it is of xiaomi.. Thank you xiaomi for making this great phone and thank you flipkart for free and very fast delivery..READ MORE,5
"Excellent mobile. awesome camera, performance is good. nice camera. good battery life. premium design blue colour is awesomeREAD MORE",5
"Fast delivery from flipkart- 🙏 ordered on Friday delivered on Saturday 28 December 18. After using for 3 days!, Phone is awesome in  look display and sound wise, but battery backup is not as expected, because its not performed like 4000mah. I used as normal and and battery ended within 10 hours from 100 to 10 %. My usage was only call normal net surfing. I am disappointed with battery backup.  Feeling like cheated. My Samsung J 7 next backup is too good, where as it has 3000 mah but stays f...READ MORE",4
liked it..... product gives 1 year warranty!  free service charges at any MI stores and good picture quality  superb sound qualityREAD MORE,5
this smart phone is nice not a great & excellent but usable phone.READ MORE,4
"Best chinese phone I have used so far. The back colour(Rosegold for me) is looking very nice. The screen is good but not strong, the phone fell from hand and hot a tiny scratch. the fullscreen specification is good. Camera is good but capturing in portrait mode is not functioning properly after one week, its getting hanged often. Battery life is not very strong. After keeping on phone data for whole day it is staying in 10% charge only. Other than some of these faults every other things are d...READ MORE",5
nice Redmi note 6 Pro good camera perfect selfie good blue colour niceREAD MORE,5
"I was waiting for this phone 6 months , finally I got on first sale itself with 1k offer!  Fast delivery... Very nice phone, no lagging, no heating issue, superb notch display, awsome battery life.. Value for money..READ MORE",5
"Another best smartphone from mi. I like camera quality, design as well battery backup and mostly in love with notch, frankly this is best in this segment. And once again before time  delivery from flipkartREAD MORE",5
"Won't say great, but a good device from Xiaomi. Great value for money, solid build quality and great cameras. But the Performance could have been better. Should have provided the Snapdragon 660 instead of the 636.READ MORE",4
camera is superb and potrate in front camera is too good to use .and phon is too handy to carry and nice to grip on hand. but not mi should gives a firstcharger from it but otherwise that is good to buy.READ MORE,5
excellent phone it's performance is nice but I don't think miui is doing great with this phone it shows many ads but camera is nice it clicks marvellous pictures but packaging also have fast charger adaptor notch is also very big fingerprint sensor is like lightning fast it is simply seems to be value for money phoneREAD MORE,4
First of all thank you flipkart 😍Display quality is too goodAll metal bodycamera is Amazing Touch is very smoothGaming wise bestpoformance is outstanding got this 12999/- value for moneyi will definitely recommend this to buy this👍Delivery Boy was so sweet koi iska salary badhao yar😃😃READ MORE,5
what a product 👌👌👌 . love u . value of money . awesome camera.battery life amazing And overall performance excellentREAD MORE,5
"camera of this phone is owsum , but sound is ok and not up to mark.battery life is good but not full day back upnotch is not designed properly and miui 10 software not working properly for notch .note series need lot of improvement as there are many competitor available in this price rangeREAD MORE",5
"This is my honest review.At this price it's a flagship phone.Battery is more efficient,camera very good,display is good,performance is excellent.So many days of query i purchaged this phone.Honestly friends i love this phone phone.Thank u mi at this price point you build a excellent phone.READ MORE",5
"Best phone in this 15000 range..excellent camera, battery backup,4gb RAM running the device smoothly no lag at all,any phone under 20000 can't compete with this camera..go for it blindly trust the Xiaomi  brand..realme 2 pro is better in only processor but trust me that phone has no durability and also no guarantee of after sales service..Go for this beast of midrange phone....READ MORE",5
Such an excellent phone in the price range the camera is much better than the expected amazing camera both a crispy and colorful selfies can be clicked from it amazing display the notch gives the looks just like a iPhone x i prefer everyone to purchase xiaomiREAD MORE,5
"I am writing this review after 12 days of usage here are some pros & cons :Pros : The processor works pretty cool , lag free gaming , multi tasking with no heating issues .The battery life is also very good charge once and run all day with 2 3 hours of gaming , rest usage with movies calling etc.Comming the camera the camera takes shots that i haven't expected before taking the phone , u can go through my sample imagesDisplay is worth its price the mi provided a quality display.now...READ MORE",4
"My first of a MI phone,  looks promising since camera and other Android features better than previous version.  Got it on exclusive#flipkart sale and delivery was fast in less than 24hours. Nice job.  Camera is just perfect of all...READ MORE",4
Awesome Phone Camera-10/10Performance-10/10Display-10/10Battery-10/10Gaming Performance-10/10Looks-10/10Best smartphone in this price. Camera gives very beautiful pics in low light. The game runs very smoothand the picture quality of the game is superb. At lasti will only say that any other smartphone in this range will not be better than redmi note 6 pro.Ekart delivery sucks. The worst.READ MORE,5
"Great Product. As the technology is evolving in a rapid rate, it does not wish to go for the expensive phone when u can get the same features and even more than some of the premium phones here in redmi note 6 pro. I really like the product and it's worth every single penny I paid for it.READ MORE",5
"No MIUI 10 out of box as mentioned, we had to have to update it to MIUI 10 after receiving the product. The battery backup is also very poor, redmi note 4g i was using for last 3 ¹/2 years had better battery backup(3000mah) than this. I dont feel like 4000 mah battery. Very much disappointed.Should have provided front flash to the device.Not providing regular updates. Many company's already roll out Android Pie update but still it's running on Oreo. The videos are not playing full screen I. e...READ MORE",1
The seller has sent a used or rejected product as the camera quality and battery capacity is not as it should be. called flipkart informed them about it and asked them for replacement from another seller but they told its not under their mentioned policy and the replaced product will only be delivered from the same seller. so whats the fun of exchanging the product if you are not satisfied with the seller. I guess seller is more important to flipkart than customers as they provide them 5 to 1...READ MORE,1
"BEST all rounder in this category with best cameras, killer battery, superb performance n great display coz realme 2pro is just great on paper but not that great also its build is not so great, while zenfone has not as good cameras (still great value for money) also realme u1 is just a realme 2 pro with realme 2 cameras, n dont even get me started about honor phones with kirin processors whose performance dies down within 5-6 months, so best option in this price range, if u want something eve...READ MORE",5
"I've been using it for couple of days , I'm very much satisfied with this one. camera is very fine , battery backup is all good .. gaming is perfect . i cannot find any cons to this device . I've been using miA1 and was fed up with the battery life . now I'm very much satisfied with note 6 pro . don't overthink just buy it and enjoy !! i bought a case from a shop nearby and applied a tempered screen guard .. this simply roxREAD MORE",5
"For this price, the camera of Phone is excellent.It has a overall good battery life with non-lagging performance even while gaming (PUBG here).It's not very different from note 5 but it's better in most ways.Light Trail feature is clever and it is allows to edit pics as we just click the pictures and it begins.The camera aperture is f/1.9, providing sharp and wide shots.But in overexposure eg in bright sunlight, the photos get washed out by light.Overall, I'd recommend this phone for it'...READ MORE",5
"'Value for money' handset, no doubt. But the previous verson, 'note 5 pro' had the same features instead of the notch.The price is though lower than its predecessor but it is naturally for the marketting issue.Even the notch is not more stylish in looks than any other smartphones in this range. Overall it will be a best pick if a person loves its ancestral belongings of note 5 pro. Nothing else.I have also bought it and using for 2 weeks, no issues occured and the experience as customer is...READ MORE",4
Trending Highlight: Notch Display.                                     Pros:+ Good Build+ Nice Display+ Powerful Chipset+ Lag Free Performance+ No Heating+ 2 Day Battery+ Good Front and Rear Camera+ Quick Charge 3.0 Supported+ Case Provided in the boxCons:- No Dedicated MicroSD Slot- No Type-C PortRatings:Design: 8/10Display: 8/10Battery: 10/10Back Camera: 9/10Front Camera: 8/10Processor: 9/10Call Quality: 9/10Face Unlock and Fingerprint: 9/10Sound from Speakers: 9/10...READ MORE,5
"got it in 12,499 during first day sale offer . must say the best in this budget . I have been using Redmi note 5 since last 8 months and now upgrading Redmi note 6 pro..really awesome product from Xiaomi..go fr it guys .thanks flipkart for the amazing before timeline deliveryREAD MORE",5
mi note 6 pro is the best android phone.... the camara quality is better and bettary performance is batter display hd+ the full screen display i love this phone....READ MORE,5
very nice phone good camera good battery good performance worth itREAD MORE,5
best phone very nice camera easy and smooth display.READ MORE,5
"Notch is little wider & hybrid sim slot but over all    Gorgeous display and splash-resistant body    Capable cameras, both at the rear as well as front    Reliable performance    Great battery life... Value for Money product.READ MORE",5
nice mobile good quality good performance good camera good batteryREAD MORE,5
"Redmi Note 6 Pro is very effective phone in this range of price. Both cameras are working amazingly. Selfie camera has very good performance. Quick charging is available. Battery life is not best but we can say good enough. Display, V notch & Full screen is very much attractive. Light Weight is very beneficial feature of this model. ' One device - 2 Spaces '  is very good feature also available. Its totally a value for money.READ MORE",5
Super Must buy Awesome product in the MarketMy 3rd Redmi Series phone after Redmi Note 5 pro & Mi Max 2.Ordered in 1st sale & HDFC Bank discount just got @Rs 12499.Just awesome specially the Red color Variant.READ MORE,5
awesome front camera but rear camera is very much disappointing because photos from back camera are yellow in tone and it doesn't really look good when you click picture by back camera ... otherwise good display and sexy handset.READ MORE,5
"Dont buy Mi Note 6 pro, this is the worst phone I have ever seen.I purchased this in January 2019, 64 GB Rose Gold.The phone will work fine for a month after that it will start lagging. The phone heats up suddenly. I can't even receive calls, this phone is pathetic. The display doesn't comes to pick up the call, there is incoming call, phone rings but display goes off.PS: I have not installed any game, like Pub G and all, I am not a gamer, I don't like to play games.I don't have mov...READ MORE",1
Yesterday I placed order and today morning I got the product. Hats off to flipkart delivery because I got the product delivered in a day without any badge of one day delivery or anything and that is too free of cost 😘👌Coming to device I’m using this phone from morning and I can say that after using honor 8x I can definitely say that camera is better than that of honor 8x and also audio quality is also good (for some unknown reason Amazon.in has not allowed me to review honor 8x)Camera: V...READ MORE,5
"Decent phone at affordable price. Though it's not a huge upgrade compared to note 5 pro but still it's a good bait. Though many youtube reviewers are kinda dissatisfied with this product due to its snapdragon 636 soc( a 2 year old processor) and giving Realme 2 pro an edge over this product due to a more powerful chipset but let's be clear here, color os is a heavy os when compared to miui and hence it requires stronger processor to offer similar performance. And those who are choosing other ...READ MORE",4
"I have been using Redmi Note 6 pro for more than 6 months now and trust me guys this is a value for money. I took this on a trip to Sikkim and I took all the photos with this phone and it was awesome. The functionality is very good,  the battery is good, the networking capacity is better, everything is very good even the photos will give a tough competition to oneplus phones but only one thing I struggled is with the display light. This light hurt my eyes real bad when used at night. well thi...READ MORE",5
LOVED IT!!!!!!! 😍I am writing this review after 4 months of usage-Firstly battery🔋performance of this mobile is amazing for a medium usage it will last whole day-High end games 🎮 can also be played in this phn very smoothly- I never got any heating issues with this phn and this mobile never hangs-Working of this phn is very smooth  and  internal storage of 64gb is just like a mini hard disk to me-Back camera is 👍good(Nearly like a mini DSLR)but front camera washes off our original c...READ MORE,5
i am purchasing this mobile than i realize best desison and low price and good and best phone camera quility is best 10 on 10No hanging problem battery back up is solid and my opinion go for it and purchased this smart phone i am also using 2 month than submit my opinion... thank you love you xiaomi.......READ MORE,4
"Pros: 1. Camera - day light and low light2. Performance - Gaming boost3. Battery - two days average usage4. MIUI 10.2Cons: 1. Speaker sound is loud and noisy2. Screen touch not responds well when fingers are little bit wet, sometimes scroll doesn't work properly even with dry fingers. 3. Little bit heavy in hand, when you compare to present market mobiles4. Battery saver need to be improved like in honor mobiles5. Not provided with Type C cableConclusion: Best mobile for camera ...READ MORE",4
"I used to buy and use Xiaomi phones from Redmi 1s era, I recommend n number of Xiaomi phones to families, friends & colleagues, even I have using poco F1 rite now, recently from miui 10, they show ads on apps like music, browser, video apps that's ok I guess, because they gives free content. and I don't understand why ads are in settings, security, new is that while installing apps from playstore it show ads in name of scanning of app. why is that so? push notify ""hot videos for you"",...READ MORE",3
"BUDGET BEAST .   I can swear u that u would love to use this phone . Battery is such last longing that u can use 4g  continuously for atleast 8 hours . Next the performance is mind blowing with SD636 .No lags anywhere. Camera will be excellent except the lowlight pixel breakage problem. Best to handle and build quality is awesome. Special thing I love the most in this Beast is its music , the  SPEAKERS are mind blowing with crystal clear audio quality and it rocks the surrounding with leaving...READ MORE",5
It's a great phone with enhanced structure worthy for money.Superb and well designed to make it stylishREAD MORE,5
"It's wow camera are so clear and so beautiful in design, best phone by mi in 2018 after pocoBest valuable phoneREAD MORE",5
Good phone Good Quality Good Budget over all Good and thanks flipkart Good Service DeliveryREAD MORE,5
"Excellent Purchase! Have been using the Note 6 Pro for a few weeks now. Really happy with the phone. Pros: 1. Camera quality is 10/10. I am really surprised with the amazing snaps it provides. 2. Sleek design and fantastic build quality. 3. Battery Life is excellent. 4. It takes about an hour and half to fully charge,  which is amazing. 5. No lags,  performance wise it's 9/10Cons: 1. No earphones in the box. All in all,  it's 100% value for money.  Go for it!READ MORE",5
I purchased it in the black friday sale for 12999The first phone which i got was defective ( the camera cut out at front was not even + the screen was flickering sometimes more prominent in white background)I must say flipkart return policy was hassle free all the formalities was done in a day. (5 stars for flipkart)The second phone is touchwood working flawless i always wanted a balanced phone i use a smartphone as a smartphone not a gaming device(although it can handle every game out the...READ MORE,5
nice mobile I am purchasing this mobile very happy this mobile battery backup very nice display good camera good battery backup very very nice display good happy this mobile purchasingREAD MORE,5
"i have been using this phone past 2 weeks. good things are selfie camera, display, battery much better than samsung, speaker music is very loud also have given a back cover which is very good thing also I am a first time user of redmi phones so MI UI is quite a new thing for me it has new apps and lots of new features which is very good the theme section is very good I can use iPhone themes but after updating it to mi UI latest one I am not able to use those things the phone is performing rea...READ MORE",3
"Before it I had been using Samsung j72016 for 2 years. so when I compare it with Samsung I would say at least this Chinese phone can not be compared with a brand like Samsung. though I have read many good reviews for MI, but after using it for 2 weeks I can say that it's sound quality is not good if u r music lover. and i found samsung more user friendly than this phone. it is a bit heavy. And yes it's camera is good but when it comes to low light, it is disappointing, though I m not selfie a...READ MORE",3
I have no word for mi .....just wow....I love the mobile... thank you mi n flipkart too...camera like DslrREAD MORE,5
"Redmi note 6 pro, I was eagerly waiting for this phone since it was launched in other country. Killer selfie camera 20mp and 2mp. And 12mp along with 5mp for rear For nice images, bigger screen display, battery powerful 4000mah, qualcom snapdragon 636 reliable chip set, android Oreo with miui 9 but as you switch on you will get update to miui 10 awesome what else we need in this price range. So I have purchase two on first flash sale and one gifted to my sister and she loved this beauty.READ MORE",5
nice Phone in turms of camera but don't compare with other brand pros:-1.camera spacally in low lights2.battery3.display brightness4. support fast chargingcons:-1. boring design2. old prossesor3. not a future proff phone4.avrage designover-all okish okish phone you can't compare with realme2 pro and honour ex if you are a xaomi lover and your need is good camera than okbut if you really need a good camera phone great design and great prooseosr then there is lots of choices in th...READ MORE,5
"The phone is very nice with nice camera and beautiful performance....but the issue is that the case which comes inside the box which is designed and manufactured by MI is not at all a good protective case...as it does not provide the protection by the extra rim for the camera, as it provides an extra rim in the note 5 pro..so case designed by MI is not as expected......READ MORE",5
so far it's awesome. camera is one of the best in third range. portrait mode is not great bt considering the price point it works fine. best in good lighting. video stabilization is amazing. just mind blowing. slow motion is also great. and manual controls are working great. battery performance is great out of the box with 60℅ and lasted for least a day long. without a min of charge. charging is fast too. display looks amazing with the notch it gives a amazing look to device and premium...READ MORE,5
"Redmi note 6 pro gives you a perfect example of a perfect mobile. Display 5/5  , Battery 5/5 , performance 5/5 , camera 4.8/5 , overall 4.9/5. If you want better phone then go for it..Perfect...MIUI 10 available after update....READ MORE",5
"Everything is fine..  perfect build quality.  design..  hardware...  everything is perfect... still I want to recommend something to Xiaomi team is that if you still focus in this phone then you can make superb for this price segment.. things what actually needed is... 1) Snapdragon 660 Soc2) 2160p (4k)  video recording is missing... 3)  USB type C port.... 4) Quick charge 3.0 out of the box..  (here you have to spend some extra to buy this charger ,here in a box adapter is 5v.2Amp c...READ MORE",4
Buy it only if you haven't purchased note 5 pro earlier else buy something else.The phone is very good for new Mi users and the ones who are buying smart phone after very long time.The price in sale was very good.Pros :Very nice display with notch (can be disappeared with settings)Camera very niceCons :Mobile supports quick charge but the charger given is not a quick charge. you have to buy it for your self.No heating issue found.Gorilla glasssound system very good (better than ho...READ MORE,5
