reviews,ratings
"Nice product in reasonable price. Voltas was my 1st preference as it is the only indigenous product & number one Brand of India. All other features are good except the front design of inner unit. Brown outer lining on the flap is not good nor desirable. Had it been sleek white, the looks would have been better. The curvy look also not good. Cooling is nice but chilling effect is not there as in normal Airconditioner. Inverter AC consumes less power and soothing. Otherwise its value for money....READ MORE",4
The product is amazing and a full value for money. Features is top class. Cooling is top notch.READ MORE,5
Very nice product but remote could be more improved Thank youREAD MORE,5
At the time of sale flipkart intentionally did not inform the customer that they will not provide copper pipes for installation. The installation engineer then charge huge amount for copper pipes which could have been avoided if flipkart would have provided the copper pipes. Buy from CROMA they provide copper pipes also with ac in same price with free installation. Flipkart is making customers fool and is the worst site.🤬😡🤬🥵🤬🤬😡😡READ MORE,1
This ac is very good but after one month. My ac PCB short by current and after that I contacted voltas care but they ignore and I heavily forced voltas for checking my ac. 12 day after my ac don't work and I do only selfie with my ac. no cooling 📲📲READ MORE,1
Very Good productREAD MORE,5
"The item delivered with gas leakage in the back unit. Return request was raised, but it was rejected after the SLA period. They didnt even call me to understand what the issue isREAD MORE",1
Product is good but bad installation service.READ MORE,1
Value for moneyREAD MORE,5
Awesome cooling my hall size is 220qf this ac child my hall in 10 min.Proud of buying TATA productREAD MORE,5
Not started working .. installation boy very bad behaviour..not properly working not properly installed.. outdoor not working..READ MORE,1
Very nice product!READ MORE,5
I love this productREAD MORE,5
Installation took 7k. Moreover I can't register the product in my voltas self care portal. There is some problem with the serial number. They are not detecting it.READ MORE,3
AC design is just okay. No Horizontal swing. Installation guys are pathetic. AC is leaking water like a tap. Now I have to followup with Voltas to fix it againREAD MORE,3
Best qualityREAD MORE,5
In a single words it's superbREAD MORE,5
My first ACREAD MORE,5
Product is greatDelivery person was goodBut installation person was trying to earn unethical money. He was over charging for electric cable @ Rs150 per MTR and water pipe.READ MORE,1
Just boght for ratan tata sir the real indian brandREAD MORE,5
The product is latest model and manufacturing. Installation was in time and done expertly. Cooling is super and the outdoor unit also silent.charges were taken according to the company rules.READ MORE,5
Best ac❤❤READ MORE,5
Worst product...outdoor unit not working after one day of installation.. 😠😠😠😠READ MORE,1
Flipkart delivery was on time with zero defect.Thanks Flipkart . Installation done within promised time.Cooling is good.Will update about energy savings soon...READ MORE,5
Very nice 👌 I am happy 😊READ MORE,5
Nice productsREAD MORE,5
Most trusted brand of india... Value for moneyREAD MORE,5
Super 💖READ MORE,5
I am  facing the cooing  issue since first day I have raised the issue so many times but the problem is not resolved yet pathetic service from the seller I strongly suggest do not buy this product.READ MORE,1
Amazing coolingREAD MORE,4
Product as good as described. Super cooling ac from india's TATA voltas. It coola within minutes.READ MORE,5
"After using AC for around a month:1. The light blinks after every few minutes which is irrelevant some time.2. Without remote AC cannot be used,3. Cooling takes lot of time, 1.5 ton AC for 12x12 room takes around an hour and still it is not even crossed 404. The swing has to be locked after every switch on. It does not remember5. The noise of fan is too much for night, even on low speed6. The compressor keep on switching ON and OFF after every 10 minutesREAD MORE",3
Excellent coolingREAD MORE,5
AC is very Awesome but Installation is very very very Poor and BadREAD MORE,1
Everything seems to be OK except that I get a peculiar smell in the room when I use the AC and even for some time after use.READ MORE,4
Very nice product and serviceREAD MORE,5
Replace my AC is not working properly.READ MORE,2
Go9d productREAD MORE,5
Cu pipe missing don't buyREAD MORE,1
"Awasom product,,, ac fan speed to much good,, cooing excilent,,, look not to much good just OK,,, features goodREAD MORE",5
ExcellentREAD MORE,5
It's Magic of Cooling and Comfortable TempratureREAD MORE,5
good productREAD MORE,5
"Really I was in impression of that Voltas having good service and solution but in my case after installation of AC gas has been leaked, and service team they are taking their own time to fix this whereas as an customer and considering the peak of summer really it’s very hard to manage without an AC is very difficult specially when you have guest so that my rating would be 000READ MORE",1
"Excellent 👍 Delivery 🚚 just in 12 hrs , recent I buy this product and it is very good 👍😊READ MORE",4
Nice product by TataREAD MORE,5
OkREAD MORE,5
Very very good i am happy ☺️❤️READ MORE,5
Very very good Ac nice cooling I am so happyREAD MORE,5
Value For MoneyREAD MORE,5
"AC received without copper coil and basic installation kit. Reported to Flipcart, a replacement request was opened but closed automatocally without giving any reason. So I have spend extra money on basic installation kitREAD MORE",1
Damaged product recievedREAD MORE,1
Good qualityREAD MORE,5
"Installetion men not trained,  they damage wall and palmet road..... Some work done by me but charged taken full....... I am not satisfied from install men workREAD MORE",4
Nice coolingREAD MORE,5
osm product.. thanks flipkart.. delivery n installation on same day.READ MORE,5
Awesome product. Delivered in time. But installation was poor and expensive. Gas started leaking after use of 2 days.READ MORE,4
Very good product from Voltas cooling system was really amazing also delivery was on time but installation time was too long. after 6 days my ac was installed by Voltas technitian also I paid extra 300 for core drilling ( total installation cost 1500) otherwise product was very good.READ MORE,5
"Product quality design, cooling effect, features are very good. Some accessories you need to purchase separately like drain pipe, plug pin, power supply very short. Otherwise cooling effect, air flow, compressor noise and other features are very excellent in voltas 1.5 ton Ac.READ MORE",4
Nice product. I have got it @very economical price. Installation done by Voltas itself and highly satisfactory. I highly  recommend to purchase this product without any hesitation.READ MORE,5
1. Quick Delivery.2. Excellent Quality Product.3. Smooth Installation.4. No any hidden charge.5. Overall excellent experience.READ MORE,5
"Design may be more attractive, remote is too large n bulkyREAD MORE",5
I like this product very much 🤩READ MORE,5
Everything is good 😊I think remote shuld have light built inAnd it should have better protective coatingREAD MORE,4
Nyc product buy mustREAD MORE,5
"Need improvement in built quality. Installation done in time, but the service was not good and ruff handling of instrument during installation. Cooling issues, multiple time service makes new device into worthless product..this time TATA product.ohmg disappointedREAD MORE",1
Colling is goodREAD MORE,5
Best A.CVoltas always bestREAD MORE,5
Don't buy Voltas. Terrible after sales service.1. Water dripping on second day2. Gas leak within one week3. Service center refilled gas leaked again4. Now changing parts in a brand new AC5. Customer care doesn't understand keep repeating the same6. My home is like Voltas AC debugging facility now.DONT BUY AT ALL...READ MORE,1
"Inspite of heavy demand delivery was almost on time, installation was done on time, this is a product of TATA so no need to worry about quality, if you are looking for a best budget 1.5 ton AC just go for it, superb cooling and almost no sound at allREAD MORE",5
Worst buyREAD MORE,1
Was okREAD MORE,3
"It's a wonderful machine, which is unbelievable. Purchased @ INR 33624 in the month Jun 2022 . Wrothy , Value for Money . Installation  charges are separatly charged which is very nominalREAD MORE",1
Very good ACREAD MORE,5
Simply awesome product..liked itREAD MORE,4
Nic acREAD MORE,5
Good product.  Value for moneyREAD MORE,5
Owsm ac must buy and working too goodREAD MORE,5
"Superb product at an excellent price. Working perfectly, smooth installation.READ MORE",5
Excellent CoolREAD MORE,5
"Hi Team, FYI installation not properly done. The person hole in the wall but didn't close the hole. And it was unsatisfied. We are doing some extra work. Still now no issues and in future, we don't know what happens. So please instruct and advance to all installation or serviceman do properly and work completely.  Thank you.READ MORE",3
In this model voltas is the worst comapnay ..don't buy it and very high noise is coming from itREAD MORE,1
"I have purchased just 2 week ago , not seen any problem yet.READ MORE",3
It's good in with a great price range  let's check it's efficiencyREAD MORE,5
Love it ... on timeREAD MORE,5
Product is good but bad installation service.READ MORE,1
AwesomeREAD MORE,5
Best acREAD MORE,5
Great A.C.READ MORE,5
"Fast cooling,👌👌👌👌READ MORE",5
Installation was so bad .total time of installation was almost 6 hrs .no drain pipe .READ MORE,2
Awesome cooling my hall size is 220qf this ac child my hall in 10 min.Proud of buying TATA productREAD MORE,5
"One of the best 1.5 Ton AC from Voltas, delivered and install on time. Best producr i buy on this Big Billion Day Sale. Thanks Flipkart and VoltasREAD MORE",5
Osham nice ac best price best coolingREAD MORE,5
Good ProductREAD MORE,5
"After using AC for around a month:1. The light blinks after every few minutes which is irrelevant some time.2. Without remote AC cannot be used,3. Cooling takes lot of time, 1.5 ton AC for 12x12 room takes around an hour and still it is not even crossed 404. The swing has to be locked after every switch on. It does not remember5. The noise of fan is too much for night, even on low speed6. The compressor keep on switching ON and OFF after every 10 minutesREAD MORE",3
Excellent  workingREAD MORE,5
It’s not working properly and if we put the temp 16c also we didn’t receive the cooling worst productREAD MORE,1
"Delivered on time and installation done within 24 hour AC performance is very good ,  energy efficient Installation is not satisfactoryOverall happy with the purchaseREAD MORE",5
"Affordable price, but design is so old typeREAD MORE",3
I loved it ...why I am late to purchase thisREAD MORE,5
now we are 2nd usingREAD MORE,5
Very good very 😊👍READ MORE,5
"Excellent 👍 Delivery 🚚 just in 12 hrs , recent I buy this product and it is very good 👍😊READ MORE",4
"Voltas - Damn good AC for the 10x10 room , it gets cold in the night so we have to switch it off , trick is to place it above the bed so in peak summer it blows  cool air directly where u sit , otherwise u will have to wait for room to get cold . R32 inverter / silent and good design , easy to install and no hassle long cables with padding which shows quality , all my other ac had cheap padding on external cables , outside is quiet and inside sound  is less than normal fan , modes are same , ...READ MORE",5
For me Voltas is the bestREAD MORE,5
Very heavy quality products 👍READ MORE,5
Excellent product got for 28kREAD MORE,5
Awesome productREAD MORE,5
Thanku FlipkartREAD MORE,5
Great product...READ MORE,5
Good product and timely delivered and installation by flipkartREAD MORE,4
It's okREAD MORE,4
This product is very good 👍👍👍👍READ MORE,5
HappyREAD MORE,3
This AC is good but lacks features. Could be more efficient.READ MORE,5
Best AC brand one should go with..READ MORE,5
Its all ok ...READ MORE,4
GoodREAD MORE,5
Valuable for moneyREAD MORE,5
"Ac gas linkage problem, cooling problm and water likage inside roomREAD MORE",1
goodREAD MORE,5
Best Split Inverter AC With Quick Delivery & Next Day Installation Thank You Flipkart ❤️READ MORE,5
Gud product for middle class peopleREAD MORE,4
Product is good but the Installation team did a bad job. Made a big hole in my Supporting beam in my building. It would have been better if I could have hired someone local for this job instead of these guys.READ MORE,3
Brand name TATA...very good product and I like it so much...best of money ...buy itREAD MORE,5
Very nice 👌READ MORE,5
Strongly not recommendedREAD MORE,1
Very nice product... values for moneyREAD MORE,5
Nice oneREAD MORE,5
This is totally useless and waste of money product the split fan not working properly and its not cooling anymore its been only 1 month and it also stop showing temperatureREAD MORE,1
Worth it!READ MORE,4
Not goodREAD MORE,1
Everything is goodREAD MORE,5
Good productREAD MORE,5
SuperREAD MORE,5
Voltas AC superb instant cooling but Technician were not good enough.READ MORE,4
Good productREAD MORE,5
Worst product...outdoor unit not working after one day of installation.. 😠😠😠😠READ MORE,1
Not much cooling as much others AC do.READ MORE,4
Very Good Product value for money comparatively to other products TATA always gives the bestREAD MORE,5
Very gud products super cooling i am so Happy thanks for FilpkartREAD MORE,5
Voltas is a good productREAD MORE,5
Very goodREAD MORE,4
Good productREAD MORE,5
Best quality product Excellent Thanks Flipkart Tata Ekart 👍👍👍👍👍READ MORE,5
Quite goodREAD MORE,4
Good for this budgetREAD MORE,4
"Delivery was quick and packaging was nice. It is only 1week,I have bought it .performance is very good .READ MORE",4
GoodREAD MORE,1
"Good Indian brand, excellent cooling functionREAD MORE",4
